Name,Mkt cap (m)*
AstraZeneca,195478.80
Shell,179382.10
HSBC Holdings,121304.60
Unilever,121170.20
BHP Group Ltd,106504.50
BP,75533.30
RELX,67148.50
GSK,64323.30
British American Tobacco,62351.40
Rio Tinto,61934.10
Diageo,53166.50
Banco Santander SA,52462.80
London Stock Exchange Group,50705.00
Glencore,49419.00
National Grid,47923.20
CRH,41740.00
Compass Group,40277.20
Rolls-Royce Group,39045.10
BAE Systems,38815.30
Lloyds Banking Group,35420.10
Haleon,33964.80
Ferguson Enterprises Inc,32213.90
Experian,32085.80
Barclays,31717.50
Anglo American,30008.60
Reckitt Benckiser Group,29533.10
NatWest Group,28490.10
3i Group,28363.80
Flutter Entertainment,25692.80
Woodside Energy Group Ltd,25367.30
Octopus Titan VCT,24756.00
Tesco,22996.20
Ashtead Group,22581.50
Wheaton Precious Metals Corp,20973.70
SSE,20853.10
Vodafone Group,19567.30
Imperial Brands,18648.90
Associated British Foods,18620.70
Antofagasta,18613.00
Standard Chartered,18331.90
Prudential,17746.40
Smurfit Westrock,16930.00
BT Group,13750.60
Legal & General Group,13155.10
Aviva,13089.30
InterContinental Hotels Group,12139.70
Next,12046.40
Rentokil Initial,11634.00
Informa,11390.90
Scottish Mortgage Investment Trust,11378.60
Segro,11360.30
AIB Group,11090.40
Bunzl,10701.70
Sage Group,10511.50
Coca-Cola HBC AG,10390.30
Smith & Nephew,10373.80
Halma,9593.60
Admiral Group,8261.00
International Consolidated Airlines Group SA,8232.80
Severn Trent,7934.90
Intertek Group,7882.40
WPP Group,7685.10
United Utilities Group,7221.20
Pearson,7215.40
Auto Trader Group,7157.70
South32 Ltd,6875.40
Wise,6866.00
Centrica,6812.00
Pershing Square Holdings Ltd,6602.00
Sainsbury (J),6486.20
Mondi,6427.00
JD Sports Fashion,6414.10
Melrose Industries,6393.10
Spirax Group,6284.90
Marks & Spencer Group,6257.60
DS Smith,6130.90
Smiths Group,5946.40
Intermediate Capital Group,5754.50
Schroders,5561.70
Croda International,5546.30
Taylor Wimpey,5467.20
Diploma,5462.90
Berkeley Group Holdings,5336.80
Phoenix Group Holdings,5298.20
Hargreaves Lansdown,5212.60
Whitbread,5188.80
F&C Investment Trust,5153.00
Barratt Developments,5103.00
DCC,5095.80
Kingfisher,5037.00
Persimmon,4971.80
Weir Group,4956.00
Howden Joinery Group,4858.50
M&G,4762.20
ConvaTec Group,4755.50
Land Securities Group,4737.50
UNITE Group,4713.40
IMI,4588.70
B&M European Value Retail SA,4556.70
Rightmove,4478.50
Vistry Group,4473.10
Beazley,4321.10
Fresnillo,4222.40
