Day,Tech,Healthcare,Finance,Energy,Consumer Goods,Utilities,Real Estate,Industrials
1,150,120,100,80,90,70,60,100
2,160,125,110,85,95,75,65,105
3,170,130,120,90,100,80,70,110
4,180,135,130,95,105,85,75,115
5,190,140,140,100,110,90,80,120
6,200,145,150,105,115,95,85,125
7,210,150,160,110,120,100,90,130
8,220,155,170,115,125,105,95,135
9,230,160,180,120,130,110,100,140
10,240,165,190,125,135,115,105,145
11,250,170,200,130,140,120,110,150
12,260,175,210,135,145,125,115,155
13,270,180,220,140,150,130,120,160
14,280,185,230,145,155,135,125,165
15,290,190,240,150,160,140,130,170
16,300,195,250,155,165,145,135,175
17,310,200,260,160,170,150,140,180
18,320,205,270,165,175,155,145,185
19,330,210,280,170,180,160,150,190
20,340,215,290,175,185,165,155,195
21,350,220,300,180,190,170,160,200
22,360,225,310,185,195,175,165,205
23,370,230,320,190,200,180,170,210
24,380,235,330,195,205,185,175,215
25,390,240,340,200,210,190,180,220
26,400,245,350,205,215,195,185,225
27,410,250,360,210,220,200,190,230
28,420,255,370,215,225,205,195,235
29,430,260,380,220,230,210,200,240
30,440,265,390,225,235,215,205,245
